model,feature,importance,abs_importance,direction
Logistic Regression,categorical__state_MO,0.3729862150008459,0.3729862150008459,positive
Logistic Regression,categorical__state_MS,-0.4369415393002103,0.4369415393002103,negative
Logistic Regression,categorical__state_MT,-0.015740402926638766,0.015740402926638766,negative
Logistic Regression,categorical__state_NC,0.4043266488490033,0.4043266488490033,positive
Logistic Regression,categorical__state_ND,-0.9586963436200812,0.9586963436200812,negative
Logistic Regression,categorical__state_NE,0.770018679576295,0.770018679576295,positive
Logistic Regression,categorical__state_NH,-0.3623311773223579,0.3623311773223579,negative
Logistic Regression,categorical__state_NJ,0.4105144740626536,0.4105144740626536,positive
Logistic Regression,categorical__state_NM,-0.8359945627470805,0.8359945627470805,negative
Logistic Regression,categorical__state_NV,-0.11743236994369488,0.11743236994369488,negative
Logistic Regression,categorical__state_NY,-1.0002159693246708,1.0002159693246708,negative
Logistic Regression,categorical__state_OH,0.3037847888981443,0.3037847888981443,positive
Logistic Regression,categorical__state_OK,0.40277139387674993,0.40277139387674993,positive
Logistic Regression,categorical__state_OR,0.21049916974686236,0.21049916974686236,positive
Logistic Regression,categorical__state_PA,0.39455435537200184,0.39455435537200184,positive
Logistic Regression,categorical__state_PR,0.1385720788904263,0.1385720788904263,positive
Logistic Regression,categorical__state_RI,1.0844979375574624,1.0844979375574624,positive
Logistic Regression,categorical__state_SC,0.45003658763972354,0.45003658763972354,positive
Logistic Regression,categorical__state_SD,0.9958340427767017,0.9958340427767017,positive
Logistic Regression,categorical__state_TN,0.1294506224492439,0.1294506224492439,positive
Logistic Regression,categorical__state_TX,0.4627939678971899,0.4627939678971899,positive
Logistic Regression,categorical__state_UT,0.5285157837492064,0.5285157837492064,positive
Logistic Regression,categorical__state_VA,0.9203706085845319,0.9203706085845319,positive
Logistic Regression,categorical__state_VI,-0.008280049825347453,0.008280049825347453,negative
Logistic Regression,categorical__state_VT,-0.14062506179118414,0.14062506179118414,negative
Logistic Regression,categorical__state_WA,0.20747365370820495,0.20747365370820495,positive
Logistic Regression,categorical__state_WI,0.5673909377399647,0.5673909377399647,positive
Logistic Regression,categorical__state_WV,-0.11945881119095367,0.11945881119095367,negative
Logistic Regression,categorical__state_WY,-0.07681024983282499,0.07681024983282499,negative
Random Forest,numeric__mort_better_rate,0.06956232828852865,0.06956232828852865,N/A
Random Forest,numeric__mort_worse_rate,0.057707856566948185,0.057707856566948185,N/A
Random Forest,numeric__safety_better_rate,0.10785280786890397,0.10785280786890397,N/A
Random Forest,numeric__safety_worse_rate,0.025800252078695927,0.025800252078695927,N/A
Random Forest,numeric__readm_better_rate,0.13935292388058992,0.13935292388058992,N/A
Random Forest,numeric__readm_worse_rate,0.16514097535761715,0.16514097535761715,N/A
Random Forest,categorical__hospital_type_Acute Care - Veterans Administration,0.006890256405976095,0.006890256405976095,N/A
Random Forest,categorical__hospital_type_Acute Care Hospitals,0.01070187697527382,0.01070187697527382,N/A
Random Forest,categorical__hospital_type_Critical Access Hospitals,0.009420737969586753,0.009420737969586753,N/A
Random Forest,categorical__hospital_ownership_Government - Federal,0.0009909159374234225,0.0009909159374234225,N/A
Random Forest,categorical__hospital_ownership_Government - Hospital District or Authority,0.013281268483361586,0.013281268483361586,N/A
Random Forest,categorical__hospital_ownership_Government - Local,0.008851653765701156,0.008851653765701156,N/A
Random Forest,categorical__hospital_ownership_Government - State,0.0021846801579086185,0.0021846801579086185,N/A
Random Forest,categorical__hospital_ownership_Physician,0.0031577165196236628,0.0031577165196236628,N/A
Random Forest,categorical__hospital_ownership_Proprietary,0.015913349778269196,0.015913349778269196,N/A
Random Forest,categorical__hospital_ownership_Tribal,0.00018420458068905358,0.00018420458068905358,N/A
Random Forest,categorical__hospital_ownership_Veterans Health Administration,0.006759436443869254,0.006759436443869254,N/A
Random Forest,categorical__hospital_ownership_Voluntary non-profit - Church,0.010827637986582102,0.010827637986582102,N/A
Random Forest,categorical__hospital_ownership_Voluntary non-profit - Other,0.011414308014098465,0.011414308014098465,N/A
Random Forest,categorical__hospital_ownership_Voluntary non-profit - Private,0.020035738475500182,0.020035738475500182,N/A
Random Forest,categorical__emergency_services_No,0.007209106262479421,0.007209106262479421,N/A
Random Forest,categorical__emergency_services_Yes,0.007124594320715151,0.007124594320715151,N/A
Random Forest,categorical__state_AK,0.00035563455082221777,0.00035563455082221777,N/A
Random Forest,categorical__state_AL,0.005188190265346941,0.005188190265346941,N/A
Random Forest,categorical__state_AR,0.003781792913822355,0.003781792913822355,N/A
Random Forest,categorical__state_AZ,0.006606585426544015,0.006606585426544015,N/A
Random Forest,categorical__state_CA,0.014838008666957905,0.014838008666957905,N/A
Random Forest,categorical__state_CO,0.0068627454635896345,0.0068627454635896345,N/A
Random Forest,categorical__state_CT,0.004396113027271368,0.004396113027271368,N/A
Random Forest,categorical__state_DC,0.001386882277151064,0.001386882277151064,N/A
Random Forest,categorical__state_DE,0.0013661578909587124,0.0013661578909587124,N/A
Random Forest,categorical__state_FL,0.011650356860130997,0.011650356860130997,N/A
Random Forest,categorical__state_GA,0.007211108173084608,0.007211108173084608,N/A
Random Forest,categorical__state_GU,2.524318419576042e-05,2.524318419576042e-05,N/A
Random Forest,categorical__state_HI,0.0017210643382436102,0.0017210643382436102,N/A
Random Forest,categorical__state_IA,0.006490224770790272,0.006490224770790272,N/A
Random Forest,categorical__state_ID,0.004328949093177175,0.004328949093177175,N/A
Random Forest,categorical__state_IL,0.01066822545805795,0.01066822545805795,N/A
Random Forest,categorical__state_IN,0.01163751659845781,0.01163751659845781,N/A
Random Forest,categorical__state_KS,0.007274441993138045,0.007274441993138045,N/A
Random Forest,categorical__state_KY,0.006812929463443081,0.006812929463443081,N/A
Random Forest,categorical__state_LA,0.006443165757804786,0.006443165757804786,N/A
Random Forest,categorical__state_MA,0.004540748645925575,0.004540748645925575,N/A
Random Forest,categorical__state_MD,0.005416855451634532,0.005416855451634532,N/A
Random Forest,categorical__state_ME,0.0037056106955977402,0.0037056106955977402,N/A
Random Forest,categorical__state_MI,0.00959548381479838,0.00959548381479838,N/A
Random Forest,categorical__state_MN,0.006675768509995964,0.006675768509995964,N/A
Random Forest,categorical__state_MO,0.006326413185239552,0.006326413185239552,N/A
Random Forest,categorical__state_MS,0.005643156895305142,0.005643156895305142,N/A
Random Forest,categorical__state_MT,0.0016925970724802127,0.0016925970724802127,N/A
Random Forest,categorical__state_NC,0.010308472754255655,0.010308472754255655,N/A
Random Forest,categorical__state_ND,0.0022435877294300272,0.0022435877294300272,N/A
Random Forest,categorical__state_NE,0.005885434362409331,0.005885434362409331,N/A
Random Forest,categorical__state_NH,0.003245776291592344,0.003245776291592344,N/A
Random Forest,categorical__state_NJ,0.005456464346035115,0.005456464346035115,N/A
Random Forest,categorical__state_NM,0.002897004966470067,0.002897004966470067,N/A
Random Forest,categorical__state_NV,0.002530518671566814,0.002530518671566814,N/A
Random Forest,categorical__state_NY,0.009627529447315092,0.009627529447315092,N/A
Random Forest,categorical__state_OH,0.01074174383806421,0.01074174383806421,N/A
Random Forest,categorical__state_OK,0.007567096624400077,0.007567096624400077,N/A
Random Forest,categorical__state_OR,0.004220284161447494,0.004220284161447494,N/A
Random Forest,categorical__state_PA,0.007661376578463563,0.007661376578463563,N/A
Random Forest,categorical__state_PR,0.0011878759969692042,0.0011878759969692042,N/A
